PersonId|EffectiveStartDate|EffectiveEndDate|BusinessGroupId|BusinessGroupId1|StartDate|StartDate1|CorrespondenceLanguage|BloodType|DateOfBirth|DateOfDeath|CountryOfBirth|RegionOfBirth|TownOfBirth|UserGuid|PersonNumber|PrimaryEmailId|PrimaryNatidId|PrimaryNatidNumber|PrimaryPhoneId|MailingAddressId|WaiveDataProtect|ApplicantNumber|Logical Start Date|Logical End Data|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|ATTRIBUTE31|ATTRIBUTE32|ATTRIBUTE33|ATTRIBUTE34|ATTRIBUTE35|ATTRIBUTE36|ATTRIBUTE37|ATTRIBUTE38|ATTRIBUTE39|ATTRIBUTE40|ATTRIBUTE41|ATTRIBUTE42|ATTRIBUTE43|ATTRIBUTE44|ATTRIBUTE45|ATTRIBUTE46|ATTRIBUTE47|ATTRIBUTE48|ATTRIBUTE49|ATTRIBUTE50|ATTRIBUTE_NUMBER1|ATTRIBUTE_NUMBER2|ATTRIBUTE_NUMBER3|ATTRIBUTE_NUMBER4|ATTRIBUTE_NUMBER5|ATTRIBUTE_NUMBER6|ATTRIBUTE_NUMBER7|ATTRIBUTE_NUMBER8|ATTRIBUTE_NUMBER9|ATTRIBUTE_NUMBER10|ATTRIBUTE_NUMBER11|ATTRIBUTE_NUMBER12|ATTRIBUTE_NUMBER13|ATTRIBUTE_NUMBER14|ATTRIBUTE_NUMBER15|ATTRIBUTE_NUMBER16|ATTRIBUTE_NUMBER17|ATTRIBUTE_NUMBER18|ATTRIBUTE_NUMBER19|ATTRIBUTE_NUMBER20|ATTRIBUTE_DATE1|ATTRIBUTE_DATE2|ATTRIBUTE_DATE3|ATTRIBUTE_DATE4|ATTRIBUTE_DATE5|ATTRIBUTE_DATE6|ATTRIBUTE_DATE7|ATTRIBUTE_DATE8|ATTRIBUTE_DATE9|ATTRIBUTE_DATE10|ATTRIBUTE_DATE11|ATTRIBUTE_DATE12|ATTRIBUTE_DATE13|ATTRIBUTE_DATE14|ATTRIBUTE_DATE15
|6/21/10||||||English ||||||||89096|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89097|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89098|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89099|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89100|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89101|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89102|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89103|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89104|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89105|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89106|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89107|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89108|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89109|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89110|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89111|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89112|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89113|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89114|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89115|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89116|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89117|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89118|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89119|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89120|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89121|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89122|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89123|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89124|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89125|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89126|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89127|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89128|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89129|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89130|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89131|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89132|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89133|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89134|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89135|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89136|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89137|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89138|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89139|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89140|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89141|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89142|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89143|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89144|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89145|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89146|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89147|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89148|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89149|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89150|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89151|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89152|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89153|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89154|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89155|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89156|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89157|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89158|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89159|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89160|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89161|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89162|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89163|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89164|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89166|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89167|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89168|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89169|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89170|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89171|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89172|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89173|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89174|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89175|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
